scientific_name,common_names,category,conservation_status
Scirpus cyperinus,"Bulrush, Cottongrass Bulrush, Bulrush, Woolgrass",Vascular Plant,
Scirpus diffusus,Umbrella Bulrush,Vascular Plant,
Scirpus expansus,Woodland Bulrush,Vascular Plant,
Scirpus lineatus,Drooping Bulrush,Vascular Plant,
Scirpus microcarpus,"Panicled Bulrush, Red-Tinge Bulrush, Smallfruit Bulrush",Vascular Plant,
Scirpus pendulus,Rufous Bulrush,Vascular Plant,
Scirpus polyphyllus,"Leafy Bulrush, Many-Leaved Bulrush",Vascular Plant,
Scirpus purshianus,"Bulrush, Weakstalk Bulrush",Vascular Plant,
Scirpus tabernaemontani,Great Bulrush,Vascular Plant,
Sciurus carolinensis,"Eastern Gray Squirrel, Gray Squirrel",Mammal,
Sciurus griseus,Western Gray Squirrel,Mammal,
Sciurus niger,"Eastern Fox Squirrel, Fox Squirrel",Mammal,
Scleranthus annuus,German Knotgrass,Vascular Plant,
Scleria oligantha,"Little-Headed Nutrush, Nut-Rush",Vascular Plant,
Scleria pauciflora,Fewflower Nutrush,Vascular Plant,
Scleria triglomerata,"Nut-Rush, Whip Nutrush",Vascular Plant,
Sclerolinon digynum,"Digynum Flax, Northwestern Yellowflax",Vascular Plant,
Scolochloa festucacea,"Common Rivergrass, Rivergrass",Vascular Plant,
Scolopax minor,American Woodcock,Bird,
Scopelophila ligulata,Copper Moss,Nonvascular Plant,
Scribneria bolanderi,Scribner's Grass,Vascular Plant,
Scrophularia californica ssp. floribunda,California Figwort,Vascular Plant,
Scrophularia desertorum,"Desert Figwort, Mountain Figwort",Vascular Plant,
Scrophularia lanceolata,Lanceleaf Figwort,Vascular Plant,
Scrophularia marilandica,"Carpenter's Square Figwort, Figwort",Vascular Plant,
Scutellaria bolanderi ssp. bolanderi,Sierra Skullcap,Vascular Plant,
Scutellaria elliptica,Hairy Skullcap,Vascular Plant,
Scutellaria elliptica var. elliptica,Hairy Skullcap,Vascular Plant,
Scutellaria elliptica var. hirsuta,Hairy Skullcap,Vascular Plant,
Scutellaria galericulata,"Hooded Skullcap, Marsh Skullcap",Vascular Plant,
Scutellaria incana,"Downy Skullcap, Hoary Skullcap",Vascular Plant,
Scutellaria incana var. incana,Hoary Skullcap,Vascular Plant,
Scutellaria incana var. punctata,Hoary Skullcap,Vascular Plant,
Scutellaria integrifolia,"Entire-Leaved Skullcap, Hyssop Skullcap",Vascular Plant,
Scutellaria lateriflora,"Mad Dog Skullcap, Mad-Dog Skullcap",Vascular Plant,
Scutellaria ovata,Heart-Leaved Skullcap,Vascular Plant,
Scutellaria saxatilis,Rock Skullcap,Vascular Plant,
Scutellaria serrata,Showy Skullcap,Vascular Plant,
Scutellaria siphocampyloides,Grayleaf Skullcap,Vascular Plant,
Scutellaria tuberosa,Danny's Skullcap,Vascular Plant,
Secale cereale,"Cultivated Rye, Rye, Cereal Rye, Common Rye, Cultivated Annual Rye, Cultivated Rye, Rye",Vascular Plant,
Sedum acre,"Gold-Moss, Mossy Stonecrop",Vascular Plant,
Sedum integrifolium,Ledge Stonecrop,Vascular Plant,
Sedum lanceolatum,"Lanceleaf Stonecrop, Lance-Leaf Stonecrop, Spearleaf Stonecrop",Vascular Plant,
Sedum obtusatum ssp. obtusatum,"Sierra Stonecrop, Sierran Stonecrop",Vascular Plant,
Sedum pulchellum,Widowscross,Vascular Plant,
Sedum radiatum,Coast Range Stonecrop,Vascular Plant,
Sedum rhodanthum,Redpod Stonecrop,Vascular Plant,
Sedum sarmentosum,"Stonecrop, Stringy Stonecrop",Vascular Plant,
Sedum spathulifolium,Broadleaf Stonecrop,Vascular Plant,
Sedum spectabile,Showy Stonecrop,Vascular Plant,
Sedum stenopetalum,"Wormleaf Stonecrop, Yellow Stonecrop",Vascular Plant,
Sedum telephium,"Garden Stonecrop, Orpine",Vascular Plant,
Sedum ternatum,"Wild Stonecrop, Wood Stonecrop",Vascular Plant,
Seiurus aurocapilla,Ovenbird,Bird,
Seiurus aurocapillus,Ovenbird,Bird,
Seiurus motacilla,Louisiana Waterthrush,Bird,
Seiurus noveboracensis,Northern Waterthrush,Bird,
Selaginella apoda,Meadow Spike-Moss,Vascular Plant,
Selaginella densa var. densa,"Dense Spikemoss, Lesser Spikemoss",Vascular Plant,
Selaginella densa var. scopulorum,"Rocky Mountain Clubmoss, Rocky Mountain Spikemoss",Vascular Plant,
Selaginella hansenii,Hansen's Spikemoss,Vascular Plant,
Selaginella rupestris,Northern Selaginella,Vascular Plant,
Selaginella selaginoides,"Club Spikemoss, Clubmoss, Northern Spikemoss",Vascular Plant,
Selaginella watsonii,"Alpine Spikemoss, Watson's Spikemoss",Vascular Plant,
Selasphorus calliope,Calliope Hummingbird,Bird,
Selasphorus platycercus,Broad-Tailed Hummingbird,Bird,
Selasphorus rufus,Rufous Hummingbird,Bird,Species of Concern
Selasphorus sasin,Allen's Hummingbird,Bird,
Seligeria recurvata,Recurved Small Limestone Moss,Nonvascular Plant,
Sematophyllum adnatum,Sematophyllum Moss,Nonvascular Plant,
Sematophyllum demissum,Sematophyllum Moss,Nonvascular Plant,
Sematophyllum marylandicum,Maryland Sematophyllum Moss,Nonvascular Plant,
Semotilus atromaculatus,Creek Chub,Fish,
Senecio anonymus,"Small's Ragwort, Yellow Ragwort",Vascular Plant,
Senecio aronicoides,Rayless Ragwort,Vascular Plant,
Senecio aureus,Golden Ragwort,Vascular Plant,
Senecio canus,Woolly Groundsel,Vascular Plant,
Senecio clarkianus,Clark's Ragwort,Vascular Plant,
Senecio crassulus,"Meadow Groundsel, Thickleaf Groundsel, Thickleaf Ragwort",Vascular Plant,
Senecio flaccidus var. douglasii,"Douglas' Groundsel, Douglas' Ragwort, Douglas' Senecio",Vascular Plant,
Senecio fremontii var. fremontii,Dwarf Mountain Ragwort,Vascular Plant,
Senecio fremontii var. occidentalis,"Dwarf Mountain Ragwort, Western Groundsel",Vascular Plant,
Senecio hydrophilus,"Alkali Marsh Groundsel, Water Groundsel, Water Ragwort",Vascular Plant,
Senecio integerrimus var. exaltatus,"Columbia Groundsel, Columbia Ragwort",Vascular Plant,
Senecio integerrimus var. major,"Lambstongue Groundsel, Lambstongue Ragwort",Vascular Plant,
Senecio jacobaea,"Ragwort, Stinking Willie, Tansy Ragwort",Vascular Plant,
Senecio lugens,Small Blacktip Ragwort,Vascular Plant,
Senecio obovatus,"Round-Leaf Groundsel, Spatulate-Leaved Ragwort",Vascular Plant,
Senecio pauciflorus,Alpine Groundsel,Vascular Plant,
Senecio pseudaureus var. pseudaureus,Falsegold Groundsel,Vascular Plant,
Senecio scorzonella,"Sierra Groundsel, Sierra Ragwort",Vascular Plant,
Senecio serra var. serra,"Tall Groundsel, Tall Ragwort",Vascular Plant,
Senecio sphaerocephalus,"Ballhead Ragwort, Marsh Groundsel",Vascular Plant,
Senecio streptanthifolius,Cleftleaf Groundsel,Vascular Plant,
Senecio triangularis,"Arrowleaf Groundsel, Arrowleaf Ragwort",Vascular Plant,
Senecio vulgaris,"Common Groundsel, Old-Man-In-The-Spring",Vascular Plant,
Senecio werneriifolius,Hoary Groundsel,Vascular Plant,
Senna hebecarpa,"Tall Partridge-Pea, Wild Senna",Vascular Plant,
Senna marilandica,"Maryland Senna, Wild Senna",Vascular Plant,
Senna obtusifolia,"Java-Bean, Sicklepod",Vascular Plant,
Sequoiadendron giganteum,"Giant Redwood, Giant Sequoia, Sierra Redwood",Vascular Plant,
Sericocarpus asteroides,Toothed Whitetop Aster,Vascular Plant,
Sericocarpus linifolius,Narrowleaf Whitetop Aster,Vascular Plant,
Setaria faberi,Foxtail,Vascular Plant,
Setaria italica,Italian Foxtail,Vascular Plant,
Setaria parviflora,"Bent Foxtail, Bristly Foxtail",Vascular Plant,
Setaria pumila,"Glaucous Foxtail, Cattail Grass, Yellow Bristle Grass, Yellow Bristlegrass",Vascular Plant,
Setaria viridis,"Green Bristle Grass, Green Foxtail, Bottle Grass, Green Bristle Grass, Green Bristlegrass, Green Foxtail, Pigeongrass, Wild Millet",Vascular Plant,
Setaria viridis var. major,Green Bristlegrass,Vascular Plant,
Setaria viridis var. viridis,Green Bristlegrass,Vascular Plant,
Setophaga americana,Northern Parula,Bird,
Setophaga castanea,Bay-Breasted Warbler,Bird,
Setophaga cerulea,Cerulean Warbler,Bird,
Setophaga citrina,Hooded Warbler,Bird,
Setophaga coronata,Yellow-Rumped Warbler,Bird,
Setophaga coronata auduboni,Audubon's Warbler,Bird,
Setophaga coronata coronata,Myrtle Warbler (Yellow-Rumped),Bird,
Setophaga discolor,Prairie Warbler,Bird,
Setophaga dominica,Yellow-Throated Warbler,Bird,
Setophaga fusca,Blackburnian Warbler,Bird,
Setophaga magnolia,Magnolia Warbler,Bird,
Setophaga nigrescens,Black-Throated Gray Warbler,Bird,
Setophaga occidentalis,Hermit Warbler,Bird,
Setophaga palmarum,Palm Warbler,Bird,
Setophaga pensylvanica,Chestnut-Sided Warbler,Bird,
Setophaga petechia,Yellow Warbler,Bird,
Setophaga ruticilla,American Redstart,Bird,
Setophaga striata,Blackpoll Warbler,Bird,
Setophaga tigrina,Cape May Warbler,Bird,
Setophaga townsendi,Townsend's Warbler,Bird,
Shepherdia canadensis,"Russet Buffaloberry, Russet Buffalo-Berry",Vascular Plant,
Sherardia arvensis,"Field Madder, Silver Buffalo-Berry",Vascular Plant,
Shortia galacifolia,Oconee Bells,Vascular Plant,Species of Concern
Sialia currucoides,Mountain Bluebird,Bird,
Sialia mexicana,Western Bluebird,Bird,Species of Concern
Sialia sialis,Eastern Bluebird,Bird,
Sibara virginica,"Sibara, Virginia Rockcress",Vascular Plant,
Sibbaldia procumbens,"Creeping Sibbaldia, Creeping-Glow-Wort, Prostrate Sibbaldia",Vascular Plant,
Sibbaldiopsis tridentata,Shrubby Fivefingers,Vascular Plant,
Sicyos angulatus,Bur Cucumber,Vascular Plant,
Sida hermaphrodita,Virginia Fanpetals,Vascular Plant,
Sida spinosa,Prickly Mallow,Vascular Plant,
Sidalcea glaucescens,"Waxy Checkerbloom, Waxy Checkermallow",Vascular Plant,
Sidalcea malviflora ssp. asprella,Dwarf Checkerbloom,Vascular Plant,
Sidalcea reptans,Sierra Checkerbloom,Vascular Plant,
Silene acaulis var. subacaulescens,"Moss Campion, Moss Catchfly",Vascular Plant,
Silene antirrhina,"Sleepy Catchfly, Catchfly, Sleepy Campion, Sleepy Catchfly, Sleepy Silene",Vascular Plant,
Silene armeria,Sweet William Silene,Vascular Plant,
Silene bernardina,"Palmer's Campion, Palmer's Catchfly",Vascular Plant,
Silene bridgesii,Bridges' Catchfly,Vascular Plant,
Silene californica,Indian Pink,Vascular Plant,
Silene dichotoma,Dichotoma Silene,Vascular Plant,
Silene drummondii var. drummondii,"Drummond's Campion, Drummond's Catchfly",Vascular Plant,
Silene gallica,"Common Catchfly, Windmill Catchfly",Vascular Plant,
Silene hitchguirei,Apetalous Catchfly,Vascular Plant,
Silene latifolia,"Bladder Campion, Bladder-Campion",Vascular Plant,
Silene latifolia ssp. alba,"Bladder Campion, Bladder Campion, Bladder-Campion, Evening Lychnis, White Campion, White Cockle",Vascular Plant,
Silene lemmonii,Lemmon's Catchfly,Vascular Plant,
Silene menziesii,"Menzies' Campion, White Catchfly",Vascular Plant,
Silene menziesii var. menziesii,Menzies' Campion,Vascular Plant,
Silene menziesii var. viscosa,Menzies' Campion,Vascular Plant,
Silene noctiflora,Nightflowering Silene,Vascular Plant,
Silene oregana,"Oregon Campion, Oregon Silene",Vascular Plant,
Silene ovata,"Mountain Catchfly, Rough-Leaved Campion",Vascular Plant,Species of Concern
Silene parryi,Parry's Silene,Vascular Plant,
Silene rotundifolia,"Roundleaf Catchfly, Round-Leaved Campion",Vascular Plant,
Silene sargentii,"Sargent's Campion, Sargent's Catchfly",Vascular Plant,
Silene stellata,"Starry Campion, Starry Catchfly",Vascular Plant,
Silene virginica,Fire Pink,Vascular Plant,
Silene vulgaris,"Bladder Campion, Bladder Campion, Bladder Silene, Cowbell, Maiden's Tears, Maidenstears, Maiden's-Tears, Rattleweed",Vascular Plant,
Silphium asteriscus,"Starry Rosinweed, Starry Rosin-Weed",Vascular Plant,
Silphium asteriscus var. asteriscus,Rosin-Weed,Vascular Plant,
Silphium asteriscus var. laevicaule,Rosin-Weed,Vascular Plant,
Silphium compositum,"Kindey-Leaf Rosin-Weed, Rosin-Weed",Vascular Plant,
Silphium trifoliatum var. trifoliatum,Whorled Rosinweed,Vascular Plant,
Sinapis arvensis,"Charlock, Charlock Mustard, Corn Mustard, Corn-Mustard, Wild Mustard",Vascular Plant,
Sisymbrium altissimum,"Jim Hill Mustard, Tall Hedge-Mustard, Tall Mustard, Tall Tumblemustard, Tumble Mustard, Tumblemustard, Tumbleweed Mustard",Vascular Plant,
Sisymbrium loeselii,"False London Rocket, Small Tumbleweed Mustard, Tall Hedgemustard, Tallhedge Mustard",Vascular Plant,
Sisymbrium officinale,"Hairy-Pod Hedgemustard, Hedge-Mustard, Hairypod Hedgemustard, Hedge Mustard, Hedge Tumblemustard, Hedgemustard, Hedge-Mustard, Hedgeweed, Wild Mustard",Vascular Plant,
Sisyrinchium albidum,White Blueeyed Grass,Vascular Plant,
Sisyrinchium angustifolium,"Blue-Eyed Grass, Pointed Blue-Eyed-Grass",Vascular Plant,
Sisyrinchium atlanticum,"Atlantic Blue-Eyed Grass, Eastern Blue-Eyed-Grass",Vascular Plant,
Sisyrinchium bellum,Western Blue-Eyed Grass,Vascular Plant,
Sisyrinchium elmeri,"Elmer's Blueeyed Grass, Elmer's Blue-Eyed Grass, Elmer's Blue-Eyed-Grass",Vascular Plant,
Sisyrinchium idahoense var. idahoense,Idaho Blue-Eyed Grass,Vascular Plant,
Sisyrinchium idahoense var. occidentale,Idaho Blue-Eyed Grass,Vascular Plant,
Sisyrinchium montanum,"Mountain Blueeyed Grass, Mountain Blue-Eyed Grass, Strict Blue-Eyed Grass, Strict Blue-Eyed-Grass",Vascular Plant,
Sisyrinchium mucronatum,"Blue-Eyed Grass, Michaux Blue-Eyed-Grass",Vascular Plant,
Sitta canadensis,Red-Breasted Nuthatch,Bird,
Sitta carolinensis,White-Breasted Nuthatch,Bird,
Sitta pygmaea,Pygmy Nuthatch,Bird,
Sium suave,"Common Waterparsnip, Hemlock Waterparsnip, Hemlock Water-Parsnip",Vascular Plant,Species of Concern
Smallanthus uvedalius,Hairy Leafcup,Vascular Plant,
Smelowskia calycina var. americana,American False Candytuft,Vascular Plant,
Smilax biltmoreana,Carrion Flower,Vascular Plant,
Smilax bona-nox,"Catbrier, Saw Greenbrier",Vascular Plant,
Smilax glauca,"Glaucous Catbrier, Glaucous-Leaved Greenbrier",Vascular Plant,
Smilax herbacea,"Carrion Flower, Smooth Herbaceous Greenbrier",Vascular Plant,
Smilax hugeri,"Huger's Carrion Flower, Huger's Carrion-Flower",Vascular Plant,
Smilax pulverulenta,Downy Carrionflower,Vascular Plant,
Smilax rotundifolia,"Common Greenbrier, Greenbrier",Vascular Plant,
Smilax tamnoides,"Bristly Greenbrier, Hispid Greenbrier",Vascular Plant,
Solanum americanum,"American Black Nightshade, Common Purple Nightshade, Smallflower Nightshade",Vascular Plant,
Solanum carolinense,"Carolina Horse-Nettle, Horse-Nettle",Vascular Plant,
Solanum dulcamara,"Bitter Nightshade, Bittersweet Nightshade, Blue Nightshade, Climbing Nightshade, European Bittersweet, Fellenwort, Woody Nightshade",Vascular Plant,
Solanum lycopersicum var. lycopersicum,Garden Tomato,Vascular Plant,
Solanum parishii,Parish's Nightshade,Vascular Plant,
Solanum ptychanthum,Nightshade,Vascular Plant,
Solanum triflorum,"Cutleaf Nightshade, Cut-Leaf Nightshade",Vascular Plant,
Solanum xanti,"Chaparral Nightshade, Purple Nightshade",Vascular Plant,
Solidago,Goldenrod,Vascular Plant,
Solidago altissima,Canada Goldenrod,Vascular Plant,
Solidago arguta,"Cutleaf Goldenrod, Sharp-Leaved Goldenrod",Vascular Plant,
Solidago arguta var. arguta,Atlantic Goldenrod,Vascular Plant,
Solidago arguta var. caroliniana,Carolina Goldenrod,Vascular Plant,
Solidago bicolor,"Silverrod, White Goldenrod",Vascular Plant,
Solidago caesia,"Bluestem Goldenrod, Wreath Goldenrod",Vascular Plant,
Solidago californica,California Goldenrod,Vascular Plant,
Solidago canadensis var. salebrosa,"Canadian Goldenrod, Salebrosa Goldenrod",Vascular Plant,
Solidago canadensis var. scabra,Canada Goldenrod,Vascular Plant,
Solidago curtisii,Mountain Decumbent Goldenrod,Vascular Plant,
Solidago erecta,Slender Golden-Rod,Vascular Plant,
Solidago flaccidifolia,"Appalachian Golden-Rod, Thin-Leaved Goldenrod",Vascular Plant,
Solidago flexicaulis,"A Goldenrod, Zig-Zag Goldenrod",Vascular Plant,
Solidago gigantea,"A Goldenrod, Tall Goldenrod, Giant Goldenrod",Vascular Plant,
Solidago glomerata,"A Goldenrod, Skunk Goldenrod",Vascular Plant,
Solidago hispida,"Hairy Goldenrod, Yellow Hairy Goldenrod",Vascular Plant,
Solidago juncea,Early Goldenrod,Vascular Plant,
Solidago missouriensis var. missouriensis,Missouri Goldenrod,Vascular Plant,
Solidago multiradiata,"Arctic Goldenrod, Manyray Goldenrod, Mountain Goldenrod, Rocky Mountain Goldenrod",Vascular Plant,
Solidago multiradiata var. scopulorum,"Manyray Goldenrod, Rocky Mountain Goldenrod",Vascular Plant,
Solidago nana,"Baby Goldenrod, Gray Goldenrod",Vascular Plant,
Solidago nemoralis var. nemoralis,Gray Goldenrod,Vascular Plant,
Solidago odora,"Fragrant Goldenrod, Sweet Goldenrod",Vascular Plant,
Solidago patula,"Rough-Leaved Goldenrod, Roundleaf Goldenrod",Vascular Plant,
Solidago puberula,"Downy Goldenrod, Hairy Goldenrod",Vascular Plant,
Solidago roanensis,"Roan's Goldenrod, Tennessee Golden-Rod",Vascular Plant,
Solidago rugosa ssp. aspera,Rough-Stemmed Goldenrod,Vascular Plant,
Solidago speciosa var. erecta,Erect Goldenrod,Vascular Plant,
Solidago speciosa var. rigidiuscula,Showy Goldenrod,Vascular Plant,
Solidago speciosa var. speciosa,Showy Goldenrod,Vascular Plant,
Solidago sphacelata,"Autumn Goldenrod, Heart-Leaved Goldenrod",Vascular Plant,
Solidago uliginosa,Bog Goldenrod,Vascular Plant,
Soliva sessilis,"Field Soliva, Field Burrweed, Field Soliva",Vascular Plant,
Sonchus arvensis,"Creeping Sowthistle, Field Sowthistle, Field Sow-Thistle, Perennial Sowthistle, Sowthistle",Vascular Plant,
Sonchus arvensis ssp. uliginosus,Moist Sowthistle,Vascular Plant,
Sonchus asper,"Perennial Sowthistle, Prickly Sow Thistle, Prickly Sowthistle, Spiny Sowthistle, Spiny-Leaf Sow-Thistle, Spiney-Leaved Sonchus, Spiny-Leaf Sowthistle",Vascular Plant,
Sonchus asper ssp. asper,Spiny Sowthistle,Vascular Plant,
Sonchus oleraceus,"Annual Sowthistle, Common Sowthistle, Common Sow-Thistle, Pualele, Sow Thistle, Sow-Thistle",Vascular Plant,
Sorbus americana,American Mountain-Ash,Vascular Plant,
Sorbus aucuparia,"European Mountain-Ash, Rowan Tree",Vascular Plant,
Sorbus californica,California Mountain-Ash,Vascular Plant,
Sorbus scopulina var. scopulina,"Cascade Mountain-Ash, Greene's Mountain-Ash",Vascular Plant,
Sorbus sitchensis var. grayi,Western Mountain-Ash,Vascular Plant,
Sorex cinereus,"Common Shrew, Masked Shrew, Cinereus Shrew, Common Shrew, Masked Shrew",Mammal,
Sorex dispar,"Long-Tailed Or Rock Shrew, Long-Tailed Shrew",Mammal,
Sorex fumeus,Smoky Shrew,Mammal,
Sorex hoyi,"American Pygmy Shrew, Pygmy Shrew, Pygmy Shrew",Mammal,
Sorex longirostris,Southeastern Shrew,Mammal,
Sorex lyelli,Mount Lyell Shrew,Mammal,
Sorex monticolus,"Dusky Shrew, Montane Shrew",Mammal,
Sorex nanus,"Dwarf Shrew, Rocky Mountain Dwarf Shrew",Mammal,
Sorex palustris,"Water Shrew, American Water Shrew, Northern Water Shrew, Water Shrew",Mammal,
Sorex preblei,"Malheur Shrew, Preble's Shrew",Mammal,Species of Concern
Sorex tenellus,Inyo Shrew,Mammal,
Sorex trowbridgii,Trowbridge's Shrew,Mammal,
Sorghastrum elliottii,"Long-Bristled Indian-Grass, Smaller Indian Grass",Vascular Plant,
Sorghastrum nutans,"Indian Grass, Yellow Indian-Grass",Vascular Plant,
Sorghum bicolor,"Black Amber, Broomcorn, Broom-Corn, Chicken Corn, Shatter Cane, Shattercane, Sorghum, Wild Cane",Vascular Plant,
Sorghum halepense,Johnson Grass,Vascular Plant,
Sparganium,"Burreed, Bur-Reed",Vascular Plant,
Sparganium americanum,"American Bur-Reed, Bur-Reed",Vascular Plant,
Sparganium androcladum,"Branching Bur-Reed, Bur-Reed",Vascular Plant,
Sparganium angustifolium,"Narrowleaf Burr Reed, Narrowleaf Burreed, Narrowleaf Bur-Reed",Vascular Plant,
Sparganium emersum,European Bur-Reed,Vascular Plant,
Sparganium emersum ssp. emersum,Emersed Bur-Reed,Vascular Plant,
Sparganium natans,Small Bur-Reed,Vascular Plant,
Spartina gracilis,Alkali Cordgrass,Vascular Plant,
Spea bombifrons,Plains Spadefoot,Amphibian,
Spea intermontana,Great Basin Spadefoot,Amphibian,
Spergula arvensis,"Corn Spurry, Devil's Gut, Field Spurry, Pickpurse, Sandweed",Vascular Plant,
Spergularia rubra,"Purple Sandspurry, Red Sandspurry",Vascular Plant,
Spermophilus armatus,Uinta Ground Squirrel,Mammal,
Spermophilus lateralis,Golden-Mantled Ground Squirrel,Mammal,
Sphaeralcea coccinea,"Copper Mallow, Orange Globemallow, Red Falsemallow, Scarlet Globemallow",Vascular Plant,
Sphaeromeria cana,"Gray Chickensage, Gray Tansey",Vascular Plant,
Sphagnum affine,Sphagnum,Nonvascular Plant,
Sphagnum capillifolium,Sphagnum,Nonvascular Plant,
Sphagnum compactum,Low Sphagnum,Nonvascular Plant,
Sphagnum cuspidatum,Toothed Sphagnum,Nonvascular Plant,
Sphagnum girgensohnii,Girgensohn's Sphagnum,Nonvascular Plant,
Sphagnum magellanicum,Magellan's Sphagnum,Nonvascular Plant,
Sphagnum molle,Sphagnum,Nonvascular Plant,
Sphagnum palustre,Prairie Sphagnum,Nonvascular Plant,
Sphagnum pylaesii,Pylaes' Sphagnum,Nonvascular Plant,
Sphagnum quinquefarium,Sphagnum,Nonvascular Plant,
Sphagnum squarrosum,Sphagnum,Nonvascular Plant,
Sphagnum subsecundum,Sphagnum,Nonvascular Plant,
Sphenopholis intermedia,Sphenopholis,Vascular Plant,
Sphenopholis nitida,"Shining Sphenopholis, Shiny Wedge Grass",Vascular Plant,
Sphenopholis obtusata,"Blunt Sphenopholis, Prairie Wedgegrass",Vascular Plant,
Sphenopholis pensylvanica,"Swamp Wedgescale, Trisetum",Vascular Plant,
Sphenosciadium capitellatum,"Button Parsley, Woollyhead Parsnip",Vascular Plant,
Sphyrapicus nuchalis,Red-Naped Sapsucker,Bird,
Sphyrapicus ruber,Red-Breasted Sapsucker,Bird,
Sphyrapicus thyroideus,Williamson's Sapsucker,Bird,Species of Concern
Sphyrapicus varius,Yellow-Bellied Sapsucker,Bird,Species of Concern
Spigelia marilandica,"Indian Pink, Woodland Pinkroot",Vascular Plant,
Spilogale gracilis,Western Spotted Skunk,Mammal,
Spilogale putorius,"Eastern Spotted Skunk, Spotted Skunk",Mammal,
Spinus lawrencei,Lawrence's Goldfinch,Bird,
Spinus pinus,Pine Siskin,Bird,
Spinus psaltria,Lesser Goldfinch,Bird,
Spinus tristis,American Goldfinch,Bird,
Spiraea betulifolia var. lucida,Shinyleaf Spirea,Vascular Plant,
Spiraea japonica,Japanese Spiraea,Vascular Plant,
Spiraea prunifolia,"Bridal-Wreath, Spiraea",Vascular Plant,
Spiraea splendens,Rose Meadowsweet,Vascular Plant,
Spiraea tomentosa,Steeplebush,Vascular Plant,
Spiraea vanhouttei,Van-Houtte's Spiraea,Vascular Plant,
Spiraea virginiana,Virginia Spiraea,Vascular Plant,Threatened
Spiranthes cernua,"Nodding Ladies'-Tresses, Nodding Lady's Tresses",Vascular Plant,
Spiranthes lacera var. gracilis,Slender Lady's Tresses,Vascular Plant,
Spiranthes ochroleuca,"Yellow Nodding Ladies'-Tresses, Yellow Nodding Lady's Tresses",Vascular Plant,
Spiranthes ovalis,"Lesser Ladies'-Tresses, October Ladiestresses",Vascular Plant,
Spiranthes porrifolia,"Creamy Ladies'-Tresses, Creamy Lady's Tresses, Western Lady's Tresses",Vascular Plant,
Spiranthes romanzoffiana,"Hooded Ladiestresses, Hooded Ladies'-Tresses, Hooded Lady's Tresses",Vascular Plant,
Spiranthes tuberosa,"Little Ladies'-Tresses, Little Lady's Tresses",Vascular Plant,
Spiranthes vernalis,"Early Lady's Tresses, Grassleaf Ladies'-Tresses",Vascular Plant,
Spiza americana,Dickcissel,Bird,
Spizella arborea,American Tree Sparrow,Bird,
Spizella atrogularis,Black-Chinned Sparrow,Bird,
Spizella breweri,Brewer's Sparrow,Bird,Species of Concern
Spizella pallida,Clay-Colored Sparrow,Bird,
Spizella passerina,Chipping Sparrow,Bird,
Spizella pusilla,Field Sparrow,Bird,
Sporobolus airoides,"Alkali Sacaton, Alkali-Sacaton",Vascular Plant,
Sporobolus clandestinus,Rough Dropseed,Vascular Plant,
Sporobolus compositus var. compositus,Dropseed,Vascular Plant,
Sporobolus cryptandrus,Sand Dropseed,Vascular Plant,
Sporobolus indicus,Smutgrass,Vascular Plant,
Sporobolus indicus var. indicus,Smut Grass,Vascular Plant,
Sporobolus vaginiflorus var. ozarkanus,Ozark Dropseed,Vascular Plant,
Stachys albens,"White Hedgenettle, Whitestem Hedgenettle",Vascular Plant,
Stachys clingmanii,"Clingman Hedge-Nettle, Clingman's Hedge-Nettle",Vascular Plant,
Stachys latidens,Broadtooth Hedgenettle,Vascular Plant,
Stachys nuttallii,Hairy Hedge-Nettle,Vascular Plant,
Stachys tenuifolia,"Slender Betony, Smooth Hedgenettle, Smooth Hedge-Nettle",Vascular Plant,
Stachys tenuifolia var. latidens,Rough Hedge-Nettle,Vascular Plant,
Staphylea bolanderi,Sierra Bladdernut,Vascular Plant,
Staphylea trifolia,"American Bladdernut, Bladdernut",Vascular Plant,
Steerecleus serrulatus,Steerecleus Moss,Nonvascular Plant,
Stelgidopteryx serripennis,Northern Rough-Winged Swallow,Bird,
Stellaria alsine,"Chickweed, Trailing Stitchwort",Vascular Plant,
Stellaria borealis ssp. sitchana,Sitka Starwort,Vascular Plant,
Stellaria calycantha,"Northern Chickweed, Northern Starwort",Vascular Plant,
Stellaria corei,"Core's Starwort, Tennessee Starwort",Vascular Plant,
Stellaria crassifolia,"Fleshy Starwort, Thickleaved Chickweed",Vascular Plant,
Stellaria crispa,"Crisp Starwort, Crispleaved Chickweed, Curled Starwort",Vascular Plant,
Stellaria graminea,"Grasslike Starwort, Little Starwort",Vascular Plant,
Stellaria longifolia,"Longleaf Stitchwort, Long-Leaved Stitchwort, Longleaf Chickweed, Longleaf Starwort, Long-Leaf Starwort",Vascular Plant,
Stellaria longipes var. longipes,"Chickweed, Longstalk Starwort",Vascular Plant,
Stellaria media,"Common Chickweed, Common Starwort, Chickweed, Common Chickweed, Nodding Chickweed",Vascular Plant,
Stellaria nitens,"Shiny Chickweed, Shiny Starwort",Vascular Plant,
Stellaria obtusa,Rocky Mountain Chickweed,Vascular Plant,
Stellaria pubera,"Giant Chickweed, Star Chickweed",Vascular Plant,
Stellaria umbellata,"Umbellate Chickweed, Umbrella Starwort",Vascular Plant,
Stellula calliope,Calliope Hummingbird,Bird,Species of Concern
Stenanthium gramineum,"Eastern Featherbells, Featherbells",Vascular Plant,
